TOPAZ, YELLOW, DIAMOND, CARAT, JEWELER, CLARITY, SAPPHIRE, RED, AMETHYST, PURPLE, AMBER, BLUE, D
LUMEN, BRIGHTNESS, CANDLE, LIGHT, DENSITY, DARKNESS, NICKEL, METAL, INCHES, LENGTH, COLOR, HUE, D
MACERATION, LIQUID, SUBLIMATION, GAS, EVAPORATION, HUMIDITY, TRAIL, PATH, EROSION, WEATHER, DECISION, DISTRACTION, D
CLUMSY, BOTCH, WICKED, INSINUATE, STRICT, PAMPER, WILLFUL, HEED, CLEVER, ERADICATE, LAZY, SHIRK, E
FUGITIVE, FLEE, PARASITE, FOSTER, BRAGGART, BOAST, SAGE, STIFLE, BYSTANDER, PROCURE, FIREBRAND, QUIBBLE, B
CHRONOLOGICAL, TIME, VIRTUAL, TRUTH, ABNORMAL, VALUE, MARGINAL, KNOWLEDGE, ORDINAL, PLACE, COINCIDENTAL, HEALTH, D
SOOT, GRIMY, FROST, TRANSPARENT, SUNSHINE, FRUITLESS, RAIN, SODDEN, PALL, GAUDY, DUST, RADIANT, C
MORBID, UNFAVORABLE, REPUTABLE, FAVORABLE, MATERNAL, UNFAVORABLE, DISPUTATIOUS, FAVORABLE, VIGILANT, UNFAVORABLE, LAX, FAVORABLE, A
SULLEN, BROOD, LETHARGIC, CAVORT, REGAL, CRINGE, DOCILE, OBEY, POISED, BLUNDER, DESPONDENT, LAUGH, C
AUTHOR, LITERATE, CYNIC, GULLIBLE, HOTHEAD, PRUDENT, SAINT, NOTORIOUS, JUDGE, IMPARTIAL, DOCTOR, FALLIBLE, D
MASSIVE, BULK, ULTIMATE, MAGNITUDE, TRIVIAL, IMPORTANCE, ANONYMOUS, LUSTER, INTERMINABLE, LEGACY, GIGANTIC, SIZE, E
ENTICE, REPEL, GERMINATE, SPROUT, FLOURISH, FADE, OFFICIATE, PRESIDE, LUBRICATE, GREASE, IMPLORE, ENTREAT, B
HUMDRUM, BORE, GRIM, AMUSE, NUTRITIOUS, SICKEN, STODGY, EXCITE, HEARTRENDING, MOVE, PENDING, WORRY, D
HOSPITABLE, COURTESY, MORBID, CHEERFULNESS, VINDICTIVE, SPITE, LEISURELY, HASTE, INFAMOUS, HONOR, DESPONDENT, GLEE, B
REINFORCE, STRONGER, ABOUND, LESSER, DISMANTLE, LONGER, WILT, HIGHER, SHIRK, GREATER, ERODE, WEAKER, E
BRAGGART, MODESTY, FLEDGLING, EXPERIENCE, EMBEZZLER, GREED, WALLFLOWER, TIMIDITY, INVALID, MALADY, CANDIDATE, AMBITION, A
HAVOC, DEVASTATION, CLARIFICATION, MYSTIFICATION, SURPLUS, SHORTAGE, FARCE, SHAM, TURMOIL, ORDER, TIMIDITY, AUDACITY, C
INFAMOUS, UNFAVORABLE, MELLOW, FAVORABLE, HOSPITABLE, UNFAVORABLE, VINDICTIVE, FAVORABLE, GIGANTIC, UNFAVORABLE, LAX, FAVORABLE, A
LETHARGIC, ENERGY, DESPONDENT, MELANCHOLY, LEISURELY, RELAXATION, NOTORIOUS, INFAMY, MELLOW, WRATH, LAVISH, EXTRAVAGANCE, D
BELLOW, FURY, SNICKER, HATRED, HISS, JOY, GIGGLE, DREAD, YAWN, EXCITEMENT, GASP, SURPRISE, E
DISMANTLE, ASSEMBLE, SHIRK, MALINGER, PAMPER, MISTREAT, MAR, DISFIGURE, RANT, RAVE, ABOUND, TEEM, B
DIALOGUE, PLAYWRIGHT, FARCE, BUFFOON, NARRATIVE, CHARACTER, OVERTURE, COMPOSER, PACT, HUMORIST, CLARIFICATION, BENEFICIARY, C
FLU, MALADY, FINALE, OVERTURE, FELONY, MISDEMEANOR, FUN, FARCE, FLEA, PARASITE, FIRE, HEARTH, D
MEDLEY, MISCELLANEOUS, TRUCE, HOSTILE, LUSTER, DULL, FLEDGLING, EXPERIENCED, REMNANT, COMPLETE, MALADY, FATAL, E
BASKETBALL, HOOP, POOL, CUE, CROQUET, WICKET, HOCKEY, PUCK, TENNIS, NET, BASEBALL, BAT, B
PLAGUE, MALADY, BYSTANDER, PARTICIPANT, TIMIDITY, COWARD, ANECDOTE, NARRATIVE, EMBLEM, DIALOGUE, PERJURY, HOMICIDE, C
SHERIFF, POSSE, PAINTER, EASEL, STUDENT, TEACHER, MASCOT, TEAM, SERGEANT, REGIMEN, FOREMAN, JURY, E
GIGANTIC, SIZE, SUBSTANTIAL, MASS, MARGINAL, VOLUME, BANKRUPT, MONEY, DESPONDENT, CHEERFULNESS, HEARTRENDING, HUMOR, A
DRUGGIST, PHARMACY, BALLERINA, TUTU, HAND, GLOVE, WAITER, RESTAURANT, COACH, TEAM, CHILD, FATHER, C
SKI, SNOW, DRIVE, CAR, GOLF, PUTT, DANCE, STEP, SKATE, ICE, RIDE, HORSE, D
VERIFY, TRUE, SIGNIFY, CHEAP, PURIFY, CLEAN, TERRIFY, CONFIDENT, RATIFY, ANGRY, MORTIFY, RELAXED, B
TARANTULA, SPIDER, MARE, STALLION, MILK, COW, FLY, PARASITE, SHEEP, GRASS, DRONE, BEE, E
RATIFY, YES, LOOM, NO, ERADICATE, YES, VETO, NO, STIFLE, YES, GOAD, NO, C
GAUDY, TASTEFUL, MASSIVE, VOLUME, MEAGER, ABUNDANCE, IMPARTIAL, OBJECTIVITY, CHRONOLOGICAL, TIME, NUTRITIOUS, HEALTH, B
RITE, CEREMONY, MAGNITUDE, SIZE, AFFLICTION, BLESSING, CLAMOR, SILENCE, PALL, CLARITY, AGITATION, CALM, A
INFLATE, BIGGER, REVERE, LOWER, ELONGATE, SHORTER, FLUCTUATE, LONGER, MEDITATE, HIGHER, DIMINISH, SMALLER, E
VITRIOL, SPITEFUL, hindsight, perfect, alabaster, white, buoyancy, light, equilibrium, just, jubilation, biblical, B
INVECTIVE, BLAME, homage, copy, grandeur, admire, duplicity, increase, depravity, corrupt, masonry, construct, E
VERNACULAR, REGIONAL, leaf, autumnal, senator, dissentious, fluctuation, irregular, budget, austere, autopsy, fatal, C
VIRULENT, POISONOUS, autonomous, free, disparate, distinct, botanical, flowery, dormant, tired, unique, eccentric, B
GRENADIER, ARMY, inkling, pen, wheelchair, paraplegic, couch, lethargy, count, nobility, insurrection, government, D
FAKE, AUTHENTICITY, latent, manifestation, impenetrable, defense, lacteal, milk, preponderant, thought, retrograde, direction, A
NEFARIOUS, VIRTUOUS, stringent, solid, subliminal, secret, reticent, talkative, jocular, humorous, haggard, old, C
CASTIGATE, CRITICIZE, dishevel, destroy, brutalize, bully, legalize, filibuster, predict, forecast, kill, massacre, B
POWERLESS, EFFICACY, turbulent, violence, anomalous, irregularity, homogenous, similarity, effluent, water, explicit, ambiguity, E
RIVULET, SMALL, dissertation, plagiarized, bird, fledgling, bankruptcy, indebted, hooligan, athletic, citadel, fortified, E
WRETCHED, CHEERFUL, territorial, terrestrial, innocuous, dangerous, floundering, struggling, redacted, censored, solitary, confined, B
LEVEL, HIERARCHY, installment, serial, halo, messiah, vinaigrette, salad, courtroom, drama, misnomer, definition, A
PECCADILLO, SIN, masquerade, party, peasant, serf, sarcophagus, funeral, letdown, devastation, hex, wizard, A
TYRO, INEXPERIENCED, headmaster, principled, scapegoat, blameworthy, forgery, valuable, sycophant, servile, risk, worthwhile, D
BLANDISHMENT, COAX, directory, telephone, pavilion, promenade, surplus, squander, eulogy, praise, controversy, placate, D
PRAGMATISM, PHILOSOPHY, elevation, pinnacle, envy, sin, electricity, outlet, cacophony, opera, chemistry, element, B
SECT, RELIGION, fresco, painting, foreground, landscape, benefactor, fortune, mandate, ruler, diet, nutrient, B
DECANTER, POUR, monument, venerate, criminal, deviate, nunnery, convert, pharmacy, proscribe, stiletto, walk, A
UNPRECEDENTED, FORERUNNERS, unnecessary, prerequisites, nauseating, medicine, bloodthirsty, anemia, holistic, proof, adulterated, purity, E
ERUDITE, UNEDUCATED, fiery, flagrant, fervid, dispassionate, loquacious, talkative, gullible, naive, dissonant, discordant, B
TRUISM, OBVIOUS, waiver, safe, president, tyrannical, daredevil, audacious, novel, ingenuous, pedant, imaginative, C
LACONIC, CONCISE, obdurate, cooperative, ephemeral, fleeting, malleable, unchanging, vindictive, forgiving, equivocal, certain, B
LIE, PREVARICATE, betray, trust, philander, donate, waver, falter, deride, praise, corroborate, doubt, C
CONCESSION, PLACATE, woman, engender, gun, bolster, catalyst, precipitate, workout, enervate, lawyer, mitigate, C
CELLO, PLAYED, tractor, pulled, bomb, detonated, scientist, discovered, city, populated, restaurant, eaten, B
DEMENTED, LUCIDITY, boorish, propriety, prodigal, sons, acrobatic, flexibility, sanguine, blood, realistic, optimism, A
DEFENDANT, PLAINTIFF, predator, ecosystem, talent, prodigy, victim, assailant, juror, prosecutor, builder, architect, C
MUD, OPAQUE, usury, interested, jewelry, ostentatious, socialism, destructive, torture, cruel, ham, kosher, C
ASSUAGE, MOLLIFY, abstain, indulge, hypothesize, prove, desiccate, dehydrate, curse, ghostwrite, condemn, neglect, C
MEMORABLE, UNFORGETTABLE, capricious, restrained, pleasing, breathtaking, offensive, stereotypical, objectified, purchased, insignificant, irrelevant, B
ANTIPATHY, APPROVAL, asphyxiation, choking, crochet, knitting, incredulity, faith, infection, contamination, excrement, waste, C
BAILIFF, COURTHOUSE, tournament, stadium, priest, synagogue, ambulance, paramedic, greyhound, racetrack, majordomo, estate, E
PLAYFUL, BANTER, symbolic, metaphor, filthy, lucre, questionable, interrogation, maternal, parenthood, cancerous, growth, A
EMBARGO, COMMERCE, treaty, war, sunscreen, radiation, chauffeur, travel, muscle, motion, vaccination, infection, E
PATHOGEN, HARMFUL, patron, sexist, record, tarnished, saint, benevolent, tumor, benign, madman, angry, C
CONCEITED, BUMPTIOUS, rural, suburban, tangible, corporeal, dubious, suspicious, devoted, zealous, elementary, young, D
CLAUSE, SENTENCE, termite, wood, alcoholic, tavern, drug, stimulant, garnish, parsley, lens, projector, E
RENEGADE, ALLEGIANCE, atheist, faith, turncoat, clothing, bigamist, wives, monk, contemplation, torpedo, explosion, A
SANGUINE, SICKLY, hazardous, dangerous, preventable, foreseeable, altruistic, egoistic, avaricious, greedy, feeble, fruitless, C
TRIPOD, CAMERA, frame, painting, television, screen, roof, edifice, butcher, meat, easel, canvas, E
PAN, SAUTÉ, measurement, weigh, cheese, grate, newspaper, edit, pestle, grind, informant, educate, D
KINDLING, COMBUSTIBLE, lava, molten, bleach, white, faith, blind, patriotism, militaristic, obesity, large, A
PRINT, LITHOGRAPH, koala, marsupial, raindrop, torrent, accordion, polka, ballet, tango, pathogen, virus, E
DERMAL, SKIN, idyllic, dreams, aquatic, water, political, democracy, scientific, medicine, diverse, cultures, B
ATROCIOUS, BAD, beneficent, upset, magnanimous, generous, mellifluous, smooth, common, banal, aggressive, bellicose, C
EXAGGERATION, CARICATURE, legitimacy, scam, Satanism, prophet, blitheness, funeral, authenticity, imitation, brevity, epigram, E
TENABLE, INDEFENSIBLE, unique, unprecedented, dire, pressing, bleak, desolate, theoretical, concrete, recondite, scholarly, D
INCHOATE, EXPERIENCE, vivacious, health, ignorant, belief, feminine, hormones, irreverent, respect, prudish, desire, D
BRANCH, BUREAUCRACY, picnic, basket, denouement, plot, album, photograph, abbey, cathedral, impresario, hostess, B
STOCK, INVENTORY, celebrity, questionnaire, antique, appraisal, negotiation, bazaar, trial, interrogation, population, census, E
ESTIMATE, APPROXIMATE, narcissist, egocentric, canoe, rapid, businessman, perspicacious, child, legitimate, heiress, coddled, A
HEART, CARDIAC, teenager, neonatal, piano, Italian, tree, arboreal, syringe, medical, electricity, static, C
INEVITABLE, PREVENTABLE, humorous, amusing, unintelligible, illegible, plausible, impossible, déclassé, rude, racist, prejudiced, C
DISINGENUOUS, CHARLATAN, padded, résumé, hardwood, floor, cooperative, rival, somnambulant, nightmare, indigent, mendicant, E
AUTHENTICITY, FRAUDULENT, simplicity, complex, importance, instrumental, worth, priceless, thirst, parched, meaning, purposeful, A
POLISH, SHINY, procure, valuable, insulate, warm, reject, commonplace, sand, rough, varnish, colorless, B
SUBTERFUGE, DECEIVE, smoke, burn, allegory, recant, pedant, walk, cloak, conceal, prosecutor, judge, D
ABIDING, EPHEMERAL, mawkish, stoic, spineless, timorous, frightened, petrified, listless, jejune, speechless, deaf, A
EXPULSION, SCHOOL, ostracism, society, reluctance, hesitation, rebuttal, debate, gravity, orbit, exeunt, drama, A
MARTINET, DISCIPLINE, libertine, freedom, fundamentalist, religion, ballerina, nutrition, cynic, optimism, sculptor, clay, B
ABOLITION, SLAVERY, choreography, dance, anarchism, government, vegetarianism, food, capitalism, money, conservation, trees, B
OBDURATE, STUBBORN, ironic, metallic, happy, felicitous, improbable, impossible, aforementioned, appropriate, lethargic, sluggish, E
DEFAME, VENERATE, elucidate, clarify, dismay, embolden, defend, barricade, daze, confuse, haggle, negotiate, B
CONTROL, IRREPRESSIBLE, penetrate, impermeable, mend, replaceable, sell, profitable, damage, decimated, see, visible, A
FLATTER, REBUFF, stigmatize, criticize, implicate, involve, horrify, concern, abstain, refrain, entice, repulse, E
BOMBASTIC, TURGID, whimsical, capricious, maligned, beneficent, experienced, inchoate, robust, disillusioned, intelligent, ingenuous, A
LECHER, SALACIOUS, conjecture, supposed, anomaly, explicable, mosaic, ruined, pastry, bitter, rabbi, foreign, A
ECCENTRIC, CODGER, evil, courtesan, admirable, hero, generous, pedant, powerful, supplicant, spicy, marinade, B
LEGERDEMAIN, DECEPTION, ornament, tree, lemonade, glass, television, screen, demolition, implosion, alcoholism, addiction, E
CLEAN, IMMACULATE, cheap, inexpensive, unadorned, austere, conscious, asleep, mysterious, enigmatic, isolated, desolate, B
DILETTANTE, DABBLE, heretic, blaspheme, teetotaler, imbibe, sycophant, dominate, dowager, remarry, charlatan, divulge, A
HALLUCINOGEN, DRUG, dance, polka, nightmare, dream, stocking, skirt, banjo, guitar, aircraft, helicopter, B
FARCE, RIDICULOUS, swallow, migratory, child, incorrigible, skewer, poignant, intersection, perpendicular, porcupine, avian, A
ASPHYXIA, AIR, cancer, tumors, obesity, fat, anemia, iron, anorexia, disorder, depression, anxiety, C
INDULGE, EPICUREAN, complain, ravenous, revenge, vindictive, retract, revocable, startle, frightening, appreciate, deprecatory, B
IMMUNE, SUSCEPTIBLE, corpulent, thin, audacious, bold, loquacious, babbling, laudable, praiseworthy, oblivious, distracted, A
DEMULCENT, UNGUENT, concertina, instrument, oratorio, rhetoric, denizen, denomination, artisan, freemason, paroxysm, hysteria, A
ABOMINABLE, DISAGREEABLE, lovable, annoying, dry, desiccated, dismal, lugubrious, penultimate, final, precipitous, steep, E
UNCOMMON, OUTLIER, tentative, agenda, literary, synopsis, parsimonious, spendthrift, lethal, overdose, saccharine, diabetic, D
BESEECH, REQUEST, elucidate, clarify, excite, pique, search, discover, scrutinize, observe, truncate, shorten, D
PRIZE, CONTESTANT, trophy, presenter, diploma, principal, medal, runner, book, author, mortgage, lender, C
CLASSROOM, STUDENTS, podium, lecturers, stadium, athletes, cafeteria, trays, garage, vehicles, auditorium, ushers, B
ENDORSE, CANDIDATE, sign, affidavit, endure, trial, idolize, celebrity, espouse, idea, devise, plan, D
STUDY, TEST, script, composition, rehearse, performance, interpret, decision, operate, cure, record, parody, B
CHRONICLE, JOURNEY, assume, debt, enumerate, demands, banish, doubts, juxtapose, positions, clarify, intentions, B
ANNOTATE, ESSAY, elevate, level, research, theory, abridge, chapter, elaborate, plan, mitigate, damage, D
CAPRICIOUS, IMPULSIVE, magnanimous, generous, articulate, critical, petty, deceptive, diligent, precise, provocative, appealing, A
NOTES, SONG, conductors, orchestra, pictures, frame, keys, door, lawyers, courtroom, ingredients, recipe, E
MARATHON, RACE, victory, competition, sprint, finish, filibuster, speech, novel, author, deposition, question, C
CASTLE, MOAT, island, ocean, king, soldier, school, playground, embryo, placenta, bacteria, germ, D
BLIZZARD, SNOW, harvest, garden, flood, lake, water, ice, exhibits, zoo, deluge, rain, E
APATHETIC, EMOTION, eloquent, precision, lenient, permanence, perceptive, awareness, zealous, passion, glib, sincerity, E
EXULTANT, KUDOS, focused, support, joyful, praise, honorable, criticism, enigmatic, puzzles, exceptional, qualities, B
NOXIOUS, POISON, egregious, crime, benign, leader, dubious, concoction, judicious, statement, pragmatic, decision, A
UTILITARIAN, QUIXOTIC, disconcerting, unsettling, ephemeral, fleeting, malevolent, kind, loquacious, talkative, obdurate, stubborn, C
PLAGIARIZE, STEAL, hoard, dispel, placate, provoke, concentrate, refine, ostracize, exclude, perjure, testify, D
CHISEL, CARVE, athlete, compete, courtroom, judge, artist, sculpt, rake, forage, scalpel, operate, E
PHILANTHROPIST, MUNIFICENCE, skeptic, disbelief, symptom, treatment, cynic, melancholy, aristocrat, gratitude, anomaly, plausibility, A
ARTICULATE, MURKY, credulous, amiable, desiccated, moist, formidable, dark, derelict, neglectful, opaque, milky, B
PHLEGMATIC, EXCITEMENT, insolent, respect, penurious, frugality, fractious, sarcasm, timorous, trepidation, sagacious, wisdom, A
MERCENARY, SOLDIER, amateur, artist, apprentice, student, pedant, teacher, demagogue, leader, hack, writer, E
INSTIGATOR, INCITE, accomplice, threaten, adjudicator, quarrel, employee, strike, bully, browbeat, lawyer, enact, D
ANECDOTE, AMUSEMENT, parable, brevity, lecture, instruction, harangue, complacency, caption, illustration, slogan, repetition, B
INEXORABLE, DISSUASION, indomitable, conquest, invulnerable, protection, insatiable, nourishment, unfathomable, mystery, unthinkable, custom, A
SONNET, POET, stage, actor, orchestra, conductor, music, dancer, canvas, painter, symphony, composer, E
CRAVEN, ADMIRABLE, unruly, energetic, listless, attractive, deft, awkward, trifling, amusing, volatile, passionate, C
INVENTORY, MERCHANDISE, entry, ledger, number, set, photograph, negative, order, receipt, manifest, cargo, E
PATRONIZE, CONDESCENSION, exasperate, anger, deride, mockery, compensate, apology, hurry, decision, encroach, fearlessness, B
MAELSTROM, TURBULENT, stricture, imperative, mirage, illusory, antique, rare, myth, authentic, verdict, fair, B
ETCH, CORROSIVE, shrink, diminutive, destroy, worthless, glue, adhesive, sculpt, malleable, polish, glossy, C
ATROCIOUS, BAD, excessive, adequate, momentous, important, unavailing, helpful, contagious, diseased, nominal, satisfactory, B
SCHOLARLY, PEDANTIC, thrifty, extravagant, tactful, diplomatic, modest, prudish, generous, philanthropic, timorous, doubtful, C
POTABLE, BEVERAGE, attainable, effort, indigestible, food, quantifiable, phenomenon, containable, impatience, habitable, dwelling, E
ANONYMOUS, IDENTIFY, nonchalant, excite, repressed, constrain, misled, trust, annoying, assist, unremarkable, please, A
EMBARRASS, SHAME, coax, reluctance, sleep, fatigue, doubt, uncertainty, belittle, condescension, console, comfort, E
PESTLE, GRIND, whetstone, sharpen, balloon, float, mill, turn, hinge, fasten, switch, conduct, A
ENTHUSIASM, MANIA, idea, inspiration, nightmare, hallucination, failure, disgust, suspicion, paranoia, energy, fitness, D
INURED, TOLERANCE, sensitized, generosity, disinterested, dishonesty, addicted, dependency, satisfied, apathy, embarrassed, scrutiny, C
INSTRUMENTALIST, SYMPHONY, author, drama, photographer, cinema, composer, concerto, artist, painting, dancer, ballet, E
SYNOPSIS, CONCISENESS, distillate, purity, mutation, viability, replication, precedence, illusion, quickness, icon, charity, A
MIRTH, LAUGHTER, uncertainty, nod, approval, applause, danger, alarm, labor, sweat, love, respect, B
PORE, MEMBRANE, mouth, lip, eyelid, eye, door, wall, tunnel, passage, tumbler, lock, C
IMMUTABLE, ALTERED, impassable, attempted, untenable, debated, dessicated, moistened, implacable, propitiated, unimpeachable, trusted, D
UNFLAPPABLE, UPSET, veracious, deceive, affable, befriend, vigorous, impede, ostentatious, influence, obstinate, persuade, E
VENIAL, EXCUSE, implausible, decry, experimental, explore, pellucid, understand, preponderant, balance, insidious, entrap, C
PRETENSE, DECEIVE, compunction, repel, admonition, reprove, restitution, forestall, hoax, entertain, ban, protect, B
CARTOGRAPHER, MAP, astronomer, stars, carpenter, wood, lumberjack, saw, tailor, clothing, weaver, loom, D
ANALGESIC, PAIN, sedative, sleep, stimulant, mood, antiseptic, odor, anesthetic, sensation, ointment, skin, D
PESTLE, GRIND, scissors, sharpen, spice, flavor, spoon, stir, hammer, swing, fan, rotate, C
TREE, FORESTRY, tractor, agriculture, experiment, laboratory, fuel, combustion, flower, horticulture, generator, electricity, D
ICONOCLAST, CONVENTION, tailor, robe, sycophant, passion, pariah, friendship, anarchist, government, firefighter, safety, D
ANGUISH, EMOTION, frenetic, fascination, money, compensation, data, dossier, cabbage, vegetable, burning, sensation, E
COVERT, SURREPTITIOUS, passive, forward, sociable, affable, causal, remorseful, taciturn, auspicious, outmoded, contemporary, B
GLUTTON, WILLPOWER, charlatan, hoax, traitor, fidelity, platoon, squad, savant, gumption, coward, courage, E
PROPAGANDA, OPINION, sermon, morality, existentialism, philosophy, newspaper, editorial, desiccant, moisture, institution, assignment, A
CONCERT, AUDIENCE, restaurant, waiters, orchestra, musicians, game, spectators, school, cheerleaders, zoo, keepers, C
WATER, RESERVOUR, oil, fuel, money, bank, lake, oceanl, parent, family, beach, inlet, B
WALK, PROWL, cheat, pretend, speak, shout, applaud, disapprove, listen, eavesdrop, smile, grin, D
STAGNANT, MOTION, arid, moisture, morbid, dread, neutral, balance, marred, fault, tilled, irrigation, A
RETOUCH, PICTURE, design, dress, orchestrate, song, publish, magazine, emend, text, concoct, pastry, D
CAMOUFLAGE, APPEARANCE, compensate, payment, decipher, decode, experiment, hypothesis, bluff, intention, invest, chance, A
BIRD, MOLT, bear, hibernate, snake, slough, fish, catch, hawk, prey, rabbit, trap, C
INTROSPECTIVE, SELF, pompous, thoughts, conceited, others, miserly, accomplishments, impetuous, decisions, scrupulous, principles, E
INCITE, SEDITIONIST,  parade, heckler, assault, victor, abdicate, autocrat, arbitrate, mediator, donate, financier, B
NOISE, DIN, injury, pride, voice, speech, sincerity, homage, emotion, fervor, signal, message, E
PLUG, SOCKET, key, lock, chair, desk, wire, electricity, current, switch, fan, wind, A
RAGE, ANGER, Bliss, apathy, fear, shame, delight, pleasure, frustration, patience, approval, censure, C
VERTEX, PYRAMID, strand, hair, rectangle, box, rung, ladder, frame, picture, summit, mountain, E
MOVIE, DIRECTOR, store, salesperson, business, manager, book, critic, competition, athlete, product, advertiser, B
CUTLERY, KNIFE, machinery, fuel, lumber, saw, suitcase, handle, bookcase, volume, furniture, chair, E
ASPIRANT, AMBITION, mentor, malice, renegade, faith, virtuoso, innocence, rebel, defiance, antagonist, maturity, B
ANARCHISM, GOVERNMENT, paternalism, ancestors, pacifism, war, realism, progress, capitalism, commerce, socialism, society, A
STUPIDITY, DUNCE, obstinacy, introvert, flattery, sycophant, fear, clown, acuity, hypocrite, deceit, vagrant, E
REMISSION, DISEASE, recollection, imagination, resurgence, determination, prescription, diagnosis, quiescence, storm, regression, violence, E
DISCUSSION, ALTERCATION, planning, action, speech, tirade, uncertainty, change, dialogue, conversation, group, convention, D
CAPTAIN, CREW, Student, faculty, mascot, team, defendant, jury, chairperson, committee, representative, senate, D
HOMESTRETCH, RACE, source, essay, gallery, play, finale, opera, applause, oration, prelude, concerto, C
ROBBERY, THIEF, jewelry, burglar, forgery, counterfeiter, hostage, kidnapper, sabotage, plunderer, capture, fugitive, B
MENAGERIE, ANIMALS, circus, acrobats, gallery, paintings, sachet, powders, archives, events, factory, furniture, B
PILGRIM, PIETY, explore, curiosity, miser, poverty, gambler, winner, knight, beauty, monk, loneliness, A
MASON, STONE, soldier, weapon, lawyer, law, blacksmith, forge, teacher, pupil, carpenter, wood, E
ARTICULATE, SPEECH, predictable, event, coordinated, movement, dangerous, disease, active, thought, erratic, path, B
INCEPTION, CONCLUSION, departure, arrival, culmination, upshot, refutation, approval, approach, return, escapade, punishment, A
SCINTILLATING, DULLNESS, erudite, wisdom, desultory, error, boisterous, calm, cautious, restraint, exalted, elevation, C
ELUCIDATE, CLARITY, envision, memory, aggravate, problem, conceal, oblivion, illuminate, light, mystify, enlightenment, D
SHARD, POTTERY, seed, flower, smoke, fire, dish, menu, chair, furniture, splinter, wood, E
REPEL, LURE, dismount, devolve, abrogate, deny, abridge, shorten, enervate, weaken, miscarry, succeed, E
PENURY, MONEY, starvation, sustenance, independence, freedom, infirmity, illness, reality, foresight, spontaneity, care, A
ARABLE, LAND, impenetrable, jungle, navigable, waterway, fertile, fertilizer, shallow, pond, flat, field, B
ATTENUATE, SIGNAL, exacerbate, problem, modify, accent, dampen, enthusiasm, elongate, line, dramatize, play, C
FURNACE, SLAG, vegetable, garbage, factory, goods, fire, ashes, automobile, gasoline, silo, grain, C
PROSAIC, MUNDANE, obdurate, foolish, ascetic, austere, clamorous, captive, loquacious, taciturn, peremptory, spontaneous, B
SALACIOUS, WHOLESOME, religious, private, expensive, profligate, conservative, stoic, mendacious, truthful, fulsome, generous, D
